inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
2993,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,11,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2994,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,12,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2995,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,13,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2996,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,14,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2997,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,5,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2998,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,6,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
2999,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,7,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3000,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,8,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3001,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,9,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3002,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,10,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3003,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,11,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3004,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,12,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3005,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,13,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3006,7354,TESTING123,,"Asics Products","Women's - Shoes",,No,,,,,,,,,,,,,,,,15,,,"GEL - TACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$66.00,,,,,,,52.80,,,,,,,,,,,,,,,,0,,,,,
3007,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3008,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3009,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3010,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3011,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3012,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"KONDO II CREW SOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.00,,,,,,,8.80,,,,,,,,,,,,,,,,0,,,,,
3013,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3014,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3015,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3016,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3017,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3018,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3019,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3020,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3021,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3022,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3023,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3024,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3025,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,S,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3026,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3027,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"OLD SCHOOL STRIPED KNEE HIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3028,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3029,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3030,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,XL,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3031,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,M,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3032,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,L,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3033,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,XL,,,"HYDROLOGY CREW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.00,,,,,,,7.20,,,,,,,,,,,,,,,,0,,,,,
3034,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"6-PACK THIN HEADBANDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,8.00,,,,,,,,,,,,,,,,0,,,,,
3035,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"3-PACK THIN HEADBANDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$6.00,,,,,,,4.80,,,,,,,,,,,,,,,,0,,,,,
3036,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3037,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3038,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3039,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3040,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3041,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"12""(W)*16.5""(H)*7""(D)",,,BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,,,,,,,20.00,,,,,,,,,,,,,,,,0,,,,,
3042,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD - COMPETITION 3.0 G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$22.50,,,,,,,18.00,,,,,,,,,,,,,,,,0,,,,,
3043,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD - COMPETITION 3.0 G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$22.50,,,,,,,18.00,,,,,,,,,,,,,,,,0,,,,,
3044,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD- ACE LOW PROFILE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$17.50,,,,,,,14.00,,,,,,,,,,,,,,,,0,,,,,
3045,7354,TESTING123,,"Asics Products",Accessories,,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD- ACE LOW PROFILE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$17.50,,,,,,,14.00,,,,,,,,,,,,,,,,0,,,,,
3046,7354,TESTING123,,"Asics Products","Accessories - Jr.",,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD- ACE LOW PROFILE- JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.00,,,,,,,12.80,,,,,,,,,,,,,,,,0,,,,,
3047,7354,TESTING123,,"Asics Products","Accessories - Jr.",,No,,,,,,,,,,,,,,,,"ONE SIZE",,,"KNEEPAD- ACE LOW PROFILE- JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.00,,,,,,,12.80,,,,,,,,,,,,,,,,0,,,,,
148217,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,M,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148216,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,M,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148215,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,M,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148214,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,M,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148213,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148212,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148211,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148210,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148209,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148208,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148207,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148206,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148205,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,S,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148204,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148203,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148202,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148201,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148200,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148199,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
148198,0,,,"Budget T - Alstyle Apparel",,,No,,,,,,,,,,,,,,,,XS,,,"Alstyle Adult Fleece 2-Ply Hoodie Full-Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$16.75,,,,,,,16.75,,,,,,,,,,,,,,,,0,,,,,
